Date,time,Wind Speed(m/s),Wind Direction(degree),Atmospheric Temperature(°C),Atmospheric Humidity(%),24-hour Cumulative Rainfall(mm/24h),Solar Radiation(W/m2)
2026-06-09,00:00:27,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:01:27,0.0,0,15.2,63.7,0.0,0
2026-06-09,00:02:27,0.0,0,15.2,63.7,0.0,0
2026-06-09,00:03:28,0.0,0,15.2,63.7,0.0,0
2026-06-09,00:04:27,0.0,0,15.3,63.8,0.0,0
2026-06-09,00:05:28,0.0,0,15.2,63.8,0.0,0
2026-06-09,00:06:28,0.0,0,15.2,63.7,0.0,0
2026-06-09,00:07:28,0.0,0,15.2,63.7,0.0,0
2026-06-09,00:08:28,0.0,0,15.2,63.7,0.0,0
2026-06-09,00:09:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:10:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:11:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:12:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:13:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:14:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:15:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:16:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:17:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:18:28,0.0,0,15.2,63.5,0.0,0
2026-06-09,00:19:28,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:20:29,0.0,0,15.2,63.5,0.0,0
2026-06-09,00:21:29,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:22:29,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:23:29,0.0,0,15.2,63.5,0.0,0
2026-06-09,00:24:29,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:25:29,0.0,0,15.2,63.5,0.0,0
2026-06-09,00:26:29,0.0,0,15.2,63.6,0.0,0
2026-06-09,00:27:29,0.0,0,15.2,63.5,0.0,0
