valid_time,latitude,longitude,d2m,t2m,ssrd,u10,v10,sp,tp,number,expver,humidity
2023-06-02 09:00:00,-34.900000000000006,-71.90000000000003,285.76733,285.89066,0.0,0.035003662,-2.4019222,99344.69,0.015443359,0,0001,99.81145
2023-06-02 10:00:00,-34.900000000000006,-71.90000000000003,285.83136,285.95667,0.0,-0.060653687,-2.2333317,99376.875,0.017063532,0,0001,99.80832
2023-06-02 11:00:00,-34.900000000000006,-71.90000000000003,285.88177,285.9915,0.0,-0.0005493164,-2.0653305,99399.5,0.01817282,0,0001,99.83229
2023-06-02 12:00:00,-34.900000000000006,-71.90000000000003,285.8905,286.01086,168.0,0.14457703,-2.0534668,99450.0,0.019046862,0,0001,99.81602
2023-06-02 13:00:00,-34.900000000000006,-71.90000000000003,285.93884,286.04047,32580.0,0.2366333,-1.8978786,99522.875,0.019755337,0,0001,99.84448
2023-06-02 14:00:00,-34.900000000000006,-71.90000000000003,286.0558,286.1949,107004.0,0.6924782,-1.6728725,99591.875,0.02040257,0,0001,99.78747
2023-06-02 15:00:00,-34.900000000000006,-71.90000000000003,286.50214,286.6679,353168.0,0.42957306,-1.5951233,99657.19,0.020961676,0,0001,99.74712
2023-06-02 16:00:00,-34.900000000000006,-71.90000000000003,286.43036,287.3083,865856.0,-0.14633942,-2.30661,99598.06,0.021112401,0,0001,98.66968
2023-06-02 17:00:00,-34.900000000000006,-71.90000000000003,285.78363,288.47937,2.052388e+06,-0.023834229,-2.4853973,99559.31,0.021114122,0,0001,95.9751
2023-06-02 18:00:00,-34.900000000000006,-71.90000000000003,284.8719,289.40002,3.480332e+06,-0.11009216,-2.6616974,99526.25,0.021114126,0,0001,93.332115
2023-06-02 19:00:00,-34.900000000000006,-71.90000000000003,284.29523,289.69098,4.707088e+06,0.42325783,-2.8677216,99531.69,0.021195922,0,0001,92.102005
2023-06-02 20:00:00,-34.900000000000006,-71.90000000000003,284.18207,289.52667,5.604176e+06,0.6233854,-2.566391,99552.125,0.02126181,0,0001,92.16984
2023-06-02 21:00:00,-34.900000000000006,-71.90000000000003,284.70624,288.7143,6.14406e+06,0.66529846,-1.8159943,99593.69,0.021279488,0,0001,94.065384
2023-06-02 22:00:00,-34.900000000000006,-71.90000000000003,284.7068,287.3344,6.217996e+06,0.5660095,-1.6244354,99597.06,0.021280337,0,0001,96.058426
2023-06-02 23:00:00,-34.900000000000006,-71.90000000000003,284.72174,286.1385,6.217996e+06,0.4471283,-1.5794067,99615.875,0.021284608,0,0001,97.850494
2023-06-03 00:00:00,-34.900000000000006,-71.90000000000003,284.31866,284.91742,6.217996e+06,0.28414917,-1.3030014,99651.19,0.021286963,0,0001,99.08308
2023-06-03 01:00:00,-34.900000000000006,-71.90000000000003,284.21906,284.59784,0.0,0.23136902,-1.1130886,99698.25,1.2591481e-06,0,0001,99.41843
2023-06-03 02:00:00,-34.900000000000006,-71.90000000000003,284.22174,284.53656,0.0,-0.004425049,-0.9915619,99735.5,2.9746443e-06,0,0001,99.516335
2023-06-03 03:00:00,-34.900000000000006,-71.90000000000003,284.0844,284.23834,0.0,-0.1572113,-1.122467,99788.31,4.7311187e-06,0,0001,99.76309
2023-06-03 04:00:00,-34.900000000000006,-71.90000000000003,284.08313,284.2121,0.0,-0.3429718,-1.4216156,99792.94,0.00013868138,0,0001,99.80146
2023-06-03 05:00:00,-34.900000000000006,-71.90000000000003,284.6338,284.79547,0.0,-0.41555786,-1.3470306,99795.19,0.0001716651,0,0001,99.751686
2023-06-03 06:00:00,-34.900000000000006,-71.90000000000003,284.39728,284.54626,0.0,-0.84614563,-1.3892975,99802.31,0.00017248839,0,0001,99.77091
2023-06-03 07:00:00,-34.900000000000006,-71.90000000000003,284.51788,284.88623,0.0,-1.1289825,-1.211853,99753.25,0.000179708,0,0001,99.43511
2023-06-03 08:00:00,-34.900000000000006,-71.90000000000003,284.6391,285.03394,0.0,-1.0107117,-1.4172974,99727.19,0.00018305331,0,0001,99.39492
2023-06-03 09:00:00,-34.900000000000006,-71.90000000000003,284.7464,285.10327,0.0,-0.658905,-1.526535,99709.75,0.0001847297,0,0001,99.45305
2023-06-03 10:00:00,-34.900000000000006,-71.90000000000003,284.94366,285.2555,0.0,0.034576416,-1.4760132,99748.0,0.00019195676,0,0001,99.52231
2023-06-03 11:00:00,-34.900000000000006,-71.90000000000003,285.09955,285.28674,0.0,0.40626526,-1.5247192,99843.75,0.00019217283,0,0001,99.713066
2023-06-03 12:00:00,-34.900000000000006,-71.90000000000003,285.1855,285.30182,1184.0,0.44203186,-1.4990234,99898.94,0.00020344555,0,0001,99.82163
2023-06-03 13:00:00,-34.900000000000006,-71.90000000000003,285.14526,285.66223,112320.0,0.96092224,-2.2769012,99995.25,0.00020664185,0,0001,99.21015
2023-06-03 14:00:00,-34.900000000000006,-71.90000000000003,284.8669,286.29126,582140.0,0.9456787,-2.4091492,100076.31,0.00020705909,0,0001,97.84014
2023-06-03 15:00:00,-34.900000000000006,-71.90000000000003,284.77338,287.30328,1.480924e+06,0.71565247,-2.3129578,100116.06,0.00020961463,0,0001,96.20254
2023-06-03 16:00:00,-34.900000000000006,-71.90000000000003,284.41913,288.40448,2.820176e+06,0.6403961,-2.2476196,100080.875,0.00021086633,0,0001,94.091675
2023-06-03 17:00:00,-34.900000000000006,-71.90000000000003,283.87097,289.214,4.438156e+06,1.0170746,-2.1089783,100045.44,0.00021508336,0,0001,92.16324
2023-06-03 18:00:00,-34.900000000000006,-71.90000000000003,283.3974,289.51575,6.033648e+06,1.3048248,-1.7185364,100001.31,0.00022423267,0,0001,91.07553
2023-06-03 19:00:00,-34.900000000000006,-71.90000000000003,283.14795,289.32568,7.235588e+06,1.7915802,-1.4750214,99990.69,0.00022423267,0,0001,90.98558
2023-06-03 20:00:00,-34.900000000000006,-71.90000000000003,283.3363,289.0183,8.141968e+06,1.3370056,-0.96424866,100029.56,0.00022508501,0,0001,91.67629
2023-06-03 21:00:00,-34.900000000000006,-71.90000000000003,283.8451,288.3294,8.554284e+06,0.8879547,-0.26620483,100061.44,0.00022508501,0,0001,93.369064
2023-06-03 22:00:00,-34.900000000000006,-71.90000000000003,284.1302,287.20758,8.609888e+06,0.7636261,0.6524811,100118.44,0.00022553204,0,0001,95.39355
2023-06-03 23:00:00,-34.900000000000006,-71.90000000000003,284.16345,286.01703,8.609888e+06,0.33177185,1.4888306,100126.625,0.00022553204,0,0001,97.19343
2023-06-04 00:00:00,-34.900000000000006,-71.90000000000003,283.95392,285.32953,8.609888e+06,-0.10014343,1.673172,100149.44,0.00022553204,0,0001,97.90604
2023-06-04 01:00:00,-34.900000000000006,-71.90000000000003,283.64227,284.8368,0.0,-0.11264038,1.858841,100119.875,0.0,0,0001,98.176346
2023-06-04 02:00:00,-34.900000000000006,-71.90000000000003,283.299,284.48767,0.0,-0.340271,2.035202,100088.625,0.0,0,0001,98.182884
2023-06-04 03:00:00,-34.900000000000006,-71.90000000000003,283.2115,284.37244,0.0,-0.59588623,2.080719,100004.75,0.0,0,0001,98.22419
